"","MONTH","WKDY_IM","HOUR_IM","REL_ROAD","LGTCON_IM","WEATHR_IM","VTRAFWAY","VSURCOND","VTRAFCON","SPEEDREL","PCRASH1_IM","PBSEX","PBCWALK","PBSWALK","PEDPOS","MOTMAN","PEDCGP","MDRDSTRD","DRIMPAIR","MVISOBSC","MTM_CRSH","NMIMPAIR","MPR_ACT","INJ_SEV","PBAGE","BDYcats","SPcats","LIMcats"
"77","wint","wkday","morn","onRoad","day","clear","twoWayNoDivide","dry","lightSignal","no","11","male","1","0","crossWalk","left","790","no","no","no","0","notImpair","3","FALSE","31_45","vanLight","unk","25"
"78","wint","wkday","aftern","onRoad","day","clear","twoWayNoDivide","dry","none","no","1","female","1","0","crossWalk","straight","750","no","no","no","0","notImpair","3","FALSE","0_15","auto","unk","30"
"79","wint","wkday","nightEarly","onRoad","darkNotLgt","clear","twoWayNoDivide","dry","none","no","10","male","0","0","lane","right","790","no","no","no","4","notImpair","8","FALSE","46_60","auto","unk","35"
"81","wint","wkday","morn","onRoad","darkLgt","clear","twoWayNoDivide","dry","physSign","no","11","female","1","0","crossWalk","left","790","yes","no","yes","0","notImpair","3","FALSE","0_15","vanLight","unk","unk"
"82","wint","wkday","morn","onRoad","darkLgt","clear","twoWayNoDivide","dry","physSign","no","11","female","1","0","crossWalk","left","790","yes","no","yes","0","notImpair","3","FALSE","16_30","vanLight","unk","unk"
"84","wint","wkday","nightEarly","onRoad","darkLgt","clear","twoWayNoDivide","dry","lightSignal","no","10","female","1","0","crossWalk","right","790","no","no","no","0","notImpair","3","FALSE","31_45","auto","unk","45"
"85","wint","fri","aftern","offRoad","day","clear","twoWayNoDivide","dry","none","unk","unk","male","0","0","unk","unk","990","no","no","no","5","notImpair","11","FALSE","31_45","lightTruck","unk","30"
"88","wint","fri","nightEarly","onRoad","darkLgt","clear","twoWayDivide","dry","none","no","1","male","0","0","lane","unk","750","yes","no","yes","2","notImpair","2","FALSE","0_15","auto","unk","40"
"89","spring","sun","nightLate","onRoad","darkNotLgt","clear","twoWayDivide","dry","none","no","1","male","0","0","lane","unk","990","no","no","no","4","notImpair","8","TRUE","16_30","auto","40_55","45"
"91","spring","wkday","nightEarly","onRoad","darkLgt","rain","twoWayNoDivide","wet","lightSignal","no","1","male","1","1","crossWalk","straight","720","yes","no","no","12","notImpair","3","TRUE","16_30","auto","unk","25"
